id,x,y,z,mass,vx,vy,vz,eps
17911,20.2416,6.6812,-2.58747,0.00119065,-0.415144,1.39663,0.0580325,0.133472
17912,-6.35256,-21.6507,-1.1274,0.00119065,1.34381,-0.328158,-0.192515,0.133472
17913,-22.7207,-3.82933,-2.709,0.00119065,0.338001,-1.30157,0.0382701,0.133472
17914,3.74674,-21.6756,0.82238,0.00119065,1.4207,0.214627,-0.0417946,0.133472
17915,-15.0103,-15.9717,-1.39481,0.00119065,1.05992,-0.96903,-0.0524335,0.133472
17916,-16.0891,-15.8997,0.217842,0.00119065,0.960283,-1.01607,0.0563356,0.133472
17917,-12.2488,-18.8099,0.569755,0.00119065,1.21289,-0.713962,-0.0799658,0.133472
17918,16.6403,-12.5218,1.79567,0.00119065,0.967869,1.15158,0.0503608,0.133472
17919,-19.0089,3.31991,-0.683914,0.00119065,-0.288495,-1.59774,-0.0119216,0.133472
17920,18.9462,12.5359,0.641553,0.00119065,-0.728731,1.18476,-0.0383049,0.133472
17921,19.4967,8.25249,0.117638,0.00119065,-0.524867,1.40243,0.00824292,0.133472
17922,-22.2254,-0.871866,-0.507554,0.00119065,-0.000337088,-1.41571,-0.157554,0.133472
17923,-5.33017,21.3426,-0.339239,0.00119065,-1.38397,-0.390223,-0.101611,0.133472
17924,-15.1888,-16.1631,-0.2773,0.00119065,1.08201,-0.928323,0.105713,0.133472
17925,13.3628,-16.5924,-0.241189,0.00119065,1.20579,0.870479,0.0692121,0.133472
17926,17.7022,14.7919,-0.937165,0.00119065,-0.900489,1.02732,-0.0605388,0.133472
17927,21.1219,1.1832,-3.14641,0.00119065,-0.15715,1.4397,-0.197541,0.133472
17928,21.1795,3.76925,-0.533491,0.00119065,-0.315722,1.43993,0.0433142,0.133472
17929,17.4786,12.2056,-0.874682,0.00119065,-0.901982,1.15936,-0.222244,0.133472
17930,-14.6915,16.3641,-0.205675,0.00119065,-1.01877,-1.02344,-0.021865,0.133472
17931,-22.3289,6.5842,1.15277,0.00119065,-0.320492,-1.31562,-0.0192596,0.133472
17932,-0.561716,21.3992,1.27458,0.00119065,-1.47257,0.0343459,-0.113567,0.133472
17933,-18.5704,7.43999,-1.40281,0.00119065,-0.588368,-1.4555,-0.0361205,0.133472
17934,-20.8127,0.100258,-1.74437,0.00119065,-0.131504,-1.50532,0.014959,0.133472
17935,6.60973,20.7713,-0.64444,0.00119065,-1.40429,0.387073,-0.051579,0.133472
17936,14.6085,13.5298,-1.72809,0.00119065,-1.05172,1.16782,-0.0505946,0.133472
17937,15.5507,-11.2622,1.28373,0.00119065,1.02095,1.25141,-0.206086,0.133472
17938,16.8266,13.1194,0.455055,0.00119065,-0.999261,1.10137,-0.0977359,0.133472
17939,16.4052,-14.0191,1.31257,0.00119065,0.954917,1.10507,0.139014,0.133472
17940,14.382,-16.13,0.482983,0.00119065,1.10151,0.966031,-0.149316,0.133472
17941,8.96823,20.5811,0.180543,0.00119065,-1.29952,0.547995,-0.145016,0.133472
17942,-4.56462,-21.4035,-2.06633,0.00119065,1.40825,-0.291225,-0.0143616,0.133472
17943,-3.5527,20.8747,0.818211,0.00119065,-1.47072,-0.271031,-0.120958,0.133472
17944,-13.3342,-14.3695,0.993904,0.00119065,1.25505,-0.972303,0.241621,0.133472
17945,-15.745,-14.6056,-1.05045,0.00119065,1.0627,-1.01417,0.17043,0.133472
17946,-13.7006,-17.4037,-1.19033,0.00119065,1.07077,-0.943965,0.125864,0.133472
17947,4.68867,20.1672,0.108104,0.00119065,-1.51396,0.249414,-0.0846837,0.133472
17948,16.7629,-13.831,0.117925,0.00119065,1.01762,1.02819,-0.246776,0.133472
17949,-10.7852,-19.4522,2.15455,0.00119065,1.23506,-0.688639,0.0533281,0.133472
17950,14.4893,15.6045,1.70033,0.00119065,-1.0802,1.0169,0.0310664,0.133472
17951,-20.965,0.737313,-0.140369,0.00119065,0.0116456,-1.5177,0.0531856,0.133472
17952,-18.0304,11.5075,1.46068,0.00119065,-0.775107,-1.23513,0.258473,0.133472
17953,-17.1644,12.7097,-0.154492,0.00119065,-0.868396,-1.21362,0.0528224,0.133472
17954,-16.68,15.6599,-1.86895,0.00119065,-0.90211,-1.04145,-0.044705,0.133472
17955,14.1408,15.1838,-0.340477,0.00119065,-1.1269,1.0389,0.0745411,0.133472
17956,9.78051,19.2333,0.0840407,0.00119065,-1.28631,0.726161,0.080373,0.133472
17957,-11.7457,19.5932,0.133732,0.00119065,-1.20488,-0.702922,0.0443124,0.133472
17958,16.666,-12.4962,-1.06072,0.00119065,0.944763,1.18831,-0.138627,0.133472
17959,19.6677,10.9614,-0.172962,0.00119065,-0.664608,1.25042,0.0632592,0.133472
17960,-18.3261,12.965,1.2326,0.00119065,-0.766338,-1.17202,-0.207577,0.133472
17961,-19.2029,-9.16906,2.77795,0.00119065,0.511853,-1.37771,-0.0184308,0.133472
17962,-20.5093,-9.30205,-1.92961,0.00119065,0.5484,-1.28653,-0.110703,0.133472
17963,-21.234,8.18025,1.0244,0.00119065,-0.440362,-1.32695,-0.0149742,0.133472
17964,11.8879,-18.5896,-0.388615,0.00119065,1.23798,0.746552,0.0811779,0.133472
17965,-21.5944,5.3769,-0.398818,0.00119065,-0.332002,-1.39684,0.017128,0.133472
17966,14.0136,-18.9993,-0.418975,0.00119065,1.11175,0.760175,0.0210109,0.133472
17967,-7.55294,-22.0543,0.518195,0.00119065,1.26714,-0.508631,0.0374645,0.133472
17968,20.3183,8.83902,1.21707,0.00119065,-0.602827,1.28271,0.233871,0.133472
17969,-11.6841,19.0185,0.328356,0.00119065,-1.1779,-0.814167,-0.0196156,0.133472
17970,10.8679,-18.7449,0.701419,0.00119065,1.136,0.936648,0.0609642,0.133472
17971,16.8915,-14.7013,0.280233,0.00119065,0.998622,1.01739,0.0787136,0.133472
17972,-6.74469,20.3492,-1.36307,0.00119065,-1.40237,-0.464011,-0.129633,0.133472
17973,17.3087,12.0556,0.125055,0.00119065,-0.873264,1.22513,-0.17677,0.133472
17974,8.11393,-20.5587,-0.542459,0.00119065,1.31595,0.57489,-0.170092,0.133472
17975,-18.288,10.7422,0.347155,0.00119065,-0.702784,-1.33268,0.00212205,0.133472
17976,19.9326,1.51208,-2.35543,0.00119065,-0.0703803,1.56171,-0.0487736,0.133472
17977,16.0888,-13.516,1.38646,0.00119065,0.981118,1.14377,0.112362,0.133472
17978,-19.3853,8.31917,-0.493604,0.00119065,-0.674653,-1.35221,0.0900833,0.133472
17979,-1.63955,-23.1033,1.29815,0.00119065,1.36871,-0.0838356,0.0114901,0.133472
17980,8.30916,-17.6747,3.16782,0.00119065,1.42572,0.662392,-0.143191,0.133472
17981,-15.0856,-15.7269,1.13796,0.00119065,1.15089,-0.90084,0.0542808,0.133472
17982,15.1955,-16.1665,1.51964,0.00119065,1.12629,0.883296,0.0566986,0.133472
17983,-0.246681,-22.1829,-0.0548526,0.00119065,1.44286,-0.0105596,0.0383995,0.133472
17984,21.3697,4.72263,-0.0464864,0.00119065,-0.22818,1.44507,0.0468585,0.133472
17985,-20.4611,-6.81293,0.399726,0.00119065,0.435355,-1.41274,0.133184,0.133472
17986,-20.6538,7.2979,0.726198,0.00119065,-0.405143,-1.40199,-0.0420971,0.133472
17987,19.815,10.1369,-1.93698,0.00119065,-0.687939,1.24179,-0.109658,0.133472
17988,-1.05904,20.7876,-0.198715,0.00119065,-1.51693,0.0503614,-0.235091,0.133472
17989,6.70901,-21.774,-0.104632,0.00119065,1.33307,0.443333,-0.00493276,0.133472
17990,-22.0617,-3.52183,2.79958,0.00119065,0.284227,-1.36935,0.143585,0.133472
17991,14.7825,-14.1312,-2.99054,0.00119065,1.14643,1.00302,-0.048163,0.133472
17992,-20.4765,7.08256,-2.14882,0.00119065,-0.424801,-1.39473,-0.0712779,0.133472
17993,-12.564,17.9573,1.66043,0.00119065,-1.17475,-0.851002,-0.0208452,0.133472
17994,19.5349,-10.2118,1.12802,0.00119065,0.718124,1.25029,-0.141385,0.133472
17995,-14.665,-16.0366,0.46047,0.00119065,1.03132,-1.03211,-0.212008,0.133472
17996,-16.9465,-13.004,0.424663,0.00119065,0.828616,-1.24297,-0.127109,0.133472
17997,11.2987,18.6341,0.327194,0.00119065,-1.20358,0.84247,-0.0860925,0.133472
17998,1.45911,22.3697,0.526282,0.00119065,-1.41369,0.15308,0.148113,0.133472
17999,-19.2668,6.71458,-0.330381,0.00119065,-0.489795,-1.48596,0.048932,0.133472
18000,-5.89983,20.9377,-2.35234,0.00119065,-1.40039,-0.384484,-0.0463092,0.133472
18001,18.407,-10.1988,0.645993,0.00119065,0.772342,1.29586,-0.189874,0.133472
18002,-17.2769,13.4217,-0.223848,0.00119065,-0.913154,-1.14044,-0.130778,0.133472
18003,17.949,6.54122,-2.14482,0.00119065,-0.515014,1.50746,0.352276,0.133472
18004,13.8681,17.4896,-1.90276,0.00119065,-1.05231,0.942217,0.177603,0.133472
18005,-10.6603,18.9251,0.33008,0.00119065,-1.31108,-0.681467,-0.00543694,0.133472
18006,20.9537,-3.43953,1.44474,0.00119065,0.188528,1.48632,0.085,0.133472
18007,-5.962,-21.2404,-0.440424,0.00119065,1.40954,-0.328755,0.146844,0.133472
18008,21.4251,3.29892,1.33965,0.00119065,-0.232747,1.45369,0.0523016,0.133472
18009,0.038957,-20.0341,1.97508,0.00119065,1.56408,-0.0347107,0.165441,0.133472
18010,4.44429,-21.3883,0.0612676,0.00119065,1.45543,0.212424,-0.0311178,0.133472
18011,9.51203,-21.4641,0.0145049,0.00119065,1.23889,0.545595,-0.170148,0.133472
18012,-21.9168,3.41799,0.478413,0.00119065,-0.1805,-1.43382,-0.0934476,0.133472
18013,-7.96133,-19.2303,0.964368,0.00119065,1.395,-0.587304,-0.26059,0.133472
18014,19.0207,9.6209,1.3126,0.00119065,-0.699116,1.31504,0.170856,0.133472
18015,-18.4591,-12.0872,-1.5689,0.00119065,0.796841,-1.20569,0.0796737,0.133472
18016,-12.9702,18.2638,-0.522869,0.00119065,-1.13832,-0.873999,-0.00580325,0.133472
18017,-18.2404,13.1889,-0.27904,0.00119065,-0.86743,-1.13592,-0.0229666,0.133472
18018,1.72708,22.0882,0.392268,0.00119065,-1.44256,0.154103,0.0681017,0.133472
18019,22.1112,1.36053,1.90466,0.00119065,0.0498757,1.42273,0.208749,0.133472
18020,-1.49995,21.7961,-1.05818,0.00119065,-1.46625,-0.0254812,-0.0820657,0.133472
18021,-23.1307,-3.00641,0.686747,0.00119065,0.199592,-1.36074,0.0146168,0.133472
18022,20.9026,-8.4649,0.604242,0.00119065,0.414095,1.36217,0.0838085,0.133472
18023,4.2233,-20.93,-0.0897774,0.00119065,1.48184,0.259314,0.0924342,0.133472
18024,-14.2355,-16.4728,0.124281,0.00119065,1.09975,-0.985325,-0.0949011,0.133472
18025,-15.223,-15.4405,1.36582,0.00119065,1.0026,-1.08483,0.0232463,0.133472
18026,16.7012,-14.0876,0.875625,0.00119065,0.901676,1.15961,-0.0841182,0.133472
18027,-23.1961,-0.144105,0.60605,0.00119065,0.0443945,-1.38438,0.0288764,0.133472
18028,2.81339,-21.2642,1.06875,0.00119065,1.43958,0.313273,0.261136,0.133472
18029,-21.5657,7.96093,0.726041,0.00119065,-0.440101,-1.32495,-0.0797504,0.133472
18030,-13.8419,16.942,-2.99121,0.00119065,-1.17105,-0.829284,0.134476,0.133472
18031,3.54361,23.9548,1.32985,0.00119065,-1.30029,0.172153,0.0963876,0.133472
18032,11.046,-17.9592,0.503083,0.00119065,1.34583,0.688507,-0.204797,0.133472
18033,-9.38927,-18.7741,2.54182,0.00119065,1.33813,-0.687032,-0.0820673,0.133472
18034,17.2389,12.5253,0.408613,0.00119065,-0.771207,1.2992,-0.0399224,0.133472
18035,-2.75384,-23.2826,-0.906257,0.00119065,1.35129,-0.166515,0.140102,0.133472
18036,0.687323,21.7535,-1.04068,0.00119065,-1.46892,-0.0145973,0.156467,0.133472
